"Occurrences","Word","Log_Freq_HAL","LgSUBTLWF","OLD","PLD","Concreteness_Rating","Age_Of_Acquisition","Body_Object_Interaction","Emotional_Valence","Emotional_Arousal","Emotional_Dominance","BG_Mean","NPhon","NSyll","NMorph","POS","I_Zscore","Obs","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Obs","I_NMG_Mean_Accuracy"
"1","stretch","9.151","2.874","2.350","1.900","3.620","5.470","2.833","5.000","4.730","6.230","4,328.000","5","1","1","NN|VB","-0.544","27","1.00","-0.151","#","1.000"
"1","swim","8.540","3.210","1.700","1.500","4.430","4.170","3.348","6.710","6.050","6.470","1,032.667","4","1","1","VB|NN","-0.792","23","0.97","-0.380","#","1.000"
"1","them","13.594","4.958","1.600","1.800","3.040","4.900","2.739","#","#","#","2,664.000","3","1","1","minor","-0.674","27","0.88","-0.501","#","1.000"
"1","these","13.291","4.664","1.750","1.350","2.030","6.424","1.565","#","#","#","5,701.250","3","1","1","minor|NN","-0.279","25","0.97","-0.371","#","1.000"
"1","thick","9.344","2.854","1.750","1.200","4.000","5.610","1.724","4.630","3.130","5.720","2,837.500","3","1","1","JJ|NN|RB","-0.626","27","0.91","-0.353","#","0.964"
"1","thirteen","7.488","2.430","3.050","2.750","3.690","#","#","5.110","4.360","4.460","3,708.429","5","2","2","minor|NN","-0.395","26","1.00","-0.455","#","1.000"
"1","thousand","9.702","3.548","3.250","2.700","3.080","6.600","1.680","6.440","3.500","6.000","3,382.857","5","2","1","minor|NN","-0.377","28","0.97","-0.523","#","1.000"
"1","trap","9.151","3.085","1.500","1.150","4.300","6.440","4.696","3.240","4.360","3.780","3,666.000","4","1","1","NN|VB","-0.790","25","0.94","-0.674","#","1.000"
"1","tropical","8.977","2.215","2.700","2.650","3.250","9.050","#","7.050","4.300","5.620","3,601.714","7","3","3","JJ|NN","-0.564","28","1.00","-0.390","#","1.000"
"1","twenty","9.283","3.140","2.300","2.500","3.670","#","#","6.250","3.670","5.140","2,975.200","6","2","2","minor|NN","-0.514","28","1.00","-0.380","#","1.000"
"1","unite","7.745","2.190","1.800","2.650","2.580","7.890","2.250","6.400","3.190","6.850","4,751.000","5","2","2","VB","-0.534","26","0.97","-0.426","#","0.963"
"1","wake","9.398","3.730","1.050","1.000","3.110","5.630","2.174","6.570","3.800","5.710","1,245.000","3","1","1","NN|VB","-0.727","26","1.00","-0.848","#","1.000"
"1","wall","11.428","3.557","1.200","1.000","4.860","3.790","4.680","5.060","2.900","4.220","3,680.000","3","1","1","NN|VB","-0.551","28","1.00","-0.810","#","1.000"
"1","what","14.098","5.701","1.700","1.850","2.000","3.856","1.571","#","#","#","3,731.000","4","1","1","minor","-0.608","28","0.97","-0.774","#","1.000"
"1","who","13.745","5.054","1.800","1.000","1.740","3.813","1.880","#","#","#","1,409.500","2","1","1","minor","-0.604","28","0.97","-0.673","#","1.000"
"1","worst","10.084","3.459","1.900","1.550","1.540","2.790","#","#","#","#","4,307.500","4","1","1","JJ|RB|NN|VB","-0.413","26","0.97","-0.615","#","1.000"
"1","young","11.110","4.093","2.000","1.700","3.160","4.610","2.560","6.310","4.090","5.600","3,920.500","3","1","1","JJ|NN","-0.398","26","0.91","-0.695","#","1.000"
"2","ancient","9.809","3.044","2.550","2.750","2.040","8.260","#","7.240","3.480","4.860","4,719.000","5","2","1","JJ|NN","-0.578","21","0.97","-0.508","#","0.955"
"2","consider","11.272","3.428","2.450","2.550","1.680","9.330","#","6.560","2.710","6.060","5,698.286","7","3","1","VB","-0.616","27","1.00","-0.110","#","1.000"
"2","deep","10.662","3.591","1.500","1.050","3.380","5.470","1.333","5.440","3.900","4.940","2,636.000","3","1","1","JJ|NN","-0.740","23","1.00","-0.424","#","1.000"
"2","Greek","9.898","2.763","1.700","1.300","#","#","#","#","#","#","2,918.500","4","1","1","NN|JJ","-0.422","27","0.97","-0.456","#","1.000"
"2","net","11.672","2.900","1.050","1.000","4.530","7.000","5.208","5.000","3.000","4.610","4,076.500","3","1","1","JJ|NN|VB","-0.745","28","0.97","-0.689","#","1.000"
"2","ocean","9.310","3.189","1.950","1.700","4.860","4.740","5.217","7.390","3.500","5.880","3,626.000","3","2","1","NN","-0.719","28","0.97","-0.722","#","1.000"
"2","that","15.476","5.857","1.650","1.250","1.540","5.529","1.348","#","#","#","4,421.667","3","1","1","minor|NN","-0.751","27","0.94","-0.561","#","1.000"
"2","their","13.647","4.524","1.900","1.000","3.340","5.263","1.667","#","#","#","2,098.250","3","1","1","minor","-0.155","27","0.97","-0.302","#","1.000"
"2","they","14.297","5.321","1.650","1.000","2.930","4.879","2.273","#","#","#","2,218.000","2","1","1","minor","-0.550","28","1.00","-0.516","#","1.000"
"2","up","13.744","5.272","1.750","1.550","3.830","2.918","1.654","#","#","#","749.000","2","1","1","minor|VB|JJ|RB","-0.730","26","0.91","-0.918","#","1.000"
"2","warm","9.953","3.425","1.300","1.200","3.560","4.650","2.542","7.500","3.350","6.330","2,789.000","4","1","1","JJ|VB","-0.749","27","0.97","-0.676","#","1.000"
"2","which","13.796","4.386","2.000","1.800","1.540","6.584","1.167","#","#","#","2,645.250","4","1","1","minor","-0.608","28","0.94","-0.591","#","1.000"
"2","with","14.974","5.411","1.700","1.450","2.000","4.442","1.600","#","#","#","2,514.000","3","1","1","minor|JJ","-0.551","28","1.00","-0.607","#","1.000"
"3","by","14.398","4.835","1.700","1.000","1.550","5.412","1.348","#","#","#","149.000","2","1","1","minor|RB","-0.635","29","0.97","-0.684","#","1.000"
"3","many","13.071","4.263","1.600","1.350","2.370","4.602","1.958","#","#","#","3,682.333","4","2","1","JJ|NN|minor","-0.569","25","0.88","-0.444","#","1.000"
"3","to","16.354","6.063","1.150","1.000","1.550","3.952","1.375","#","#","#","2,861.000","2","1","1","minor","-0.786","26","1.00","-0.725","#","1.000"
"3","water","11.571","4.060","1.500","1.550","5.000","2.370","6.192","7.000","3.710","6.120","7,796.250","4","2","1","NN|VB","-0.843","27","1.00","-0.754","#","0.964"
"4","have","14.915","5.497","1.200","1.100","2.180","3.720","1.542","5.860","3.520","5.720","2,269.667","3","1","1","VB|NN","-0.638","28","0.94","-0.644","#","1.000"
"5","and","16.187","5.834","1.250","1.000","1.520","4.570","1.250","#","#","#","5,253.500","3","1","1","minor","-0.604","22","1.00","-0.623","#","1.000"
"8","a","16.177","6.018","1.450","1.000","1.460","2.893","#","#","#","#","#","1","1","1","minor|NN","-0.013","23","0.73","-0.323","#","0.958"
"8","be","14.945","5.467","1.400","1.000","1.850","5.110","1.652","6.180","3.430","5.500","1,926.000","2","1","1","VB","-0.648","25","0.97","-0.574","#","1.000"
"8","dolphin","7.405","2.152","3.150","2.650","4.960","6.050","4.520","6.670","3.000","5.670","3,740.333","6","2","1","NN","-0.425","27","0.94","-0.542","#","1.000"
"10","in","15.897","5.698","1.000","1.000","3.000","3.685","2.250","#","#","#","14,646.000","2","1","1","minor|RB|JJ","-0.630","26","0.97","-0.771","#","1.000"
"10","of","16.214","5.771","1.450","1.650","1.670","4.549","1.391","#","#","#","415.000","2","1","1","minor","-0.607","27","0.91","-0.570","#","1.000"
"13","the","16.955","6.177","1.500","1.800","1.430","3.984","1.125","#","#","#","3,033.000","2","1","1","minor","-0.681","29","0.94","-0.457","#","1.000"
