"Occurrences","Word","Log_Freq_HAL","LgSUBTLWF","OLD","PLD","Concreteness_Rating","Age_Of_Acquisition","Body_Object_Interaction","Emotional_Valence","Emotional_Arousal","Emotional_Dominance","BG_Mean","NPhon","NSyll","NMorph","POS","I_Zscore","Obs","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Obs","I_NMG_Mean_Accuracy"
"1","pillow","7.654","2.765","1.850","1.650","5.000","3.470","6.391","7.000","2.900","6.340","2,617.400","4","2","1","NN","-0.624","27","1.00","-0.613","#","1.000"
"1","poison","8.536","3.098","2.150","2.150","4.270","5.580","4.036","2.160","6.010","3.380","3,661.400","4","2","1","NN|VB","-0.706","27","1.00","-0.532","#","1.000"
"1","pressure","10.255","3.433","2.600","1.950","3.070","8.950","2.304","3.560","4.480","4.400","5,696.000","5","2","2","NN|VB","-0.526","28","1.00","-0.434","#","1.000"
"1","rescue","9.335","3.113","2.300","2.650","3.170","7.170","2.080","7.040","5.000","5.940","5,005.800","6","2","1","NN|VB","-0.544","27","0.91","-0.614","#","1.000"
"1","revenue","9.032","2.090","2.350","2.450","3.110","11.740","#","7.000","4.780","5.680","3,538.833","6","3","1","NN","-0.486","29","0.97","-0.179","#","1.000"
"1","reward","8.584","2.964","1.750","2.150","3.410","6.890","2.565","7.470","5.580","6.330","3,502.200","6","2","1","NN|VB","-0.406","27","1.00","-0.625","#","1.000"
"1","riot","7.735","2.521","1.750","1.600","4.450","9.950","1.792","3.150","6.190","3.250","4,070.667","4","1","1","NN|VB","-0.455","28","0.94","-0.773","#","1.000"
"1","salary","10.312","2.740","2.000","1.700","3.690","10.110","#","6.420","4.860","5.050","3,756.000","6","3","1","NN","-0.481","27","0.94","-0.424","#","1.000"
"1","scent","7.795","2.484","1.700","1.000","3.970","5.940","2.400","6.500","5.050","5.310","4,287.250","4","1","1","NN|VB","-0.542","27","0.97","-0.310","#","1.000"
"1","scholar","8.006","2.272","2.750","1.800","3.500","10.370","3.565","6.330","4.250","6.040","3,434.500","5","2","2","NN","-0.145","24","0.91","-0.205","#","0.923"
"1","segment","9.328","2.009","2.200","2.650","3.400","11.110","2.769","4.630","3.610","5.290","3,481.000","7","2","1","NN","-0.257","23","0.97","-0.126","#","0.958"
"1","sin","9.767","2.911","1.000","1.000","1.850","6.740","1.880","3.080","5.820","5.740","8,894.500","3","1","1","NN|VB","-0.787","26","1.00","-0.369","#","1.000"
"1","slave","9.484","2.974","1.500","1.500","4.380","7.840","3.957","2.060","4.530","2.610","2,410.500","4","1","1","NN|VB","-0.605","27","0.94","-0.297","#","1.000"
"1","slime","7.561","2.152","1.650","1.400","4.480","6.780","4.370","3.150","4.580","4.040","3,001.750","4","1","1","NN","-0.238","27","0.94","-0.341","#","1.000"
"1","smell","9.179","3.627","1.600","1.500","3.700","4.220","2.320","6.390","5.240","5.440","2,971.500","4","1","1","NN|VB","-0.576","25","0.97","-0.196","#","1.000"
"1","soldier","9.024","3.298","2.350","2.200","4.720","6.940","4.560","5.450","5.900","5.840","4,340.000","5","2","1","NN|VB","-0.436","23","0.97","-0.476","#","0.920"
"1","sphere","9.426","2.104","2.150","1.550","4.440","8.260","3.917","6.210","4.000","5.600","5,557.200","4","1","1","NN|RB","-0.549","23","1.00","-0.013","#","0.958"
"1","substance","9.009","2.562","3.150","3.250","3.440","9.680","4.478","4.290","3.620","5.750","3,293.000","8","2","1","NN","-0.316","25","0.97","-0.103","#","0.962"
"1","success","10.521","3.143","2.600","2.550","2.210","9.250","1.500","7.490","5.800","6.380","3,679.167","6","2","2","NN","-0.685","27","0.97","0.042","#","1.000"
"1","sum","9.523","2.719","1.300","1.000","2.890","7.100","1.391","5.710","3.100","5.880","1,474.500","3","1","1","NN|VB","-0.266","28","1.00","-0.368","#","1.000"
"1","tax","11.039","2.871","1.250","1.000","3.890","8.940","2.320","3.000","4.520","3.050","1,901.000","4","1","1","NN|VB","-0.639","28","0.97","-0.578","#","1.000"
"1","terror","9.057","2.663","2.500","1.500","2.430","8.790","#","2.750","6.350","2.950","6,470.800","4","2","2","NN","-0.685","27","1.00","-0.327","#","0.964"
"1","thrill","7.851","2.634","1.950","1.650","2.460","8.370","#","7.370","7.190","6.090","3,221.200","4","1","1","NN|VB","-0.492","28","0.97","-0.323","#","1.000"
"1","tobacco","8.657","2.553","3.700","2.800","4.880","7.390","5.667","3.370","5.000","4.130","2,211.333","6","3","1","NN","-0.397","27","1.00","-0.503","#","1.000"
"1","torture","8.918","2.910","2.500","2.100","3.590","10.700","2.148","1.400","5.090","2.760","3,749.667","5","2","1","NN|VB","-0.476","26","0.97","-0.406","#","1.000"
"1","trend","9.070","2.029","1.750","1.700","2.420","10.840","2.280","5.330","4.450","4.950","5,503.500","5","1","1","NN","-0.424","26","1.00","-0.392","#","1.000"
"1","trouble","10.814","4.057","2.500","1.750","2.250","4.560","1.920","2.870","5.590","4.350","3,469.000","5","2","1","NN|VB","-0.524","28","0.97","-0.565","#","1.000"
"1","union","10.328","3.046","1.750","2.550","3.380","9.390","2.783","5.850","4.050","5.680","4,709.500","6","2","2","NN","-0.531","22","1.00","-0.426","#","0.917"
"1","veal","6.806","2.260","1.400","1.100","4.750","11.170","4.500","4.810","3.860","4.800","4,158.667","3","1","1","NN","-0.249","28","0.88","-0.312","#","1.000"
"1","victory","9.333","3.039","2.550","2.650","2.550","7.530","#","7.590","5.900","6.950","2,802.167","7","3","2","NN","-0.774","28","0.97","-0.533","#","1.000"
"1","volcano","8.024","2.233","2.950","3.700","4.750","6.740","#","4.590","6.700","3.620","2,717.833","7","3","2","NN","-0.487","27","0.94","-0.550","#","1.000"
"1","wage","9.216","2.204","1.250","1.450","3.790","11.060","2.435","6.000","3.430","4.480","1,716.667","3","1","1","NN|VB","-0.504","27","0.97","-0.712","#","1.000"
"1","waltz","7.074","2.447","1.950","1.650","4.520","10.370","4.185","5.790","3.580","5.790","1,989.250","5","1","1","NN|VB","-0.346","28","1.00","-0.645","#","1.000"
"1","weapon","9.890","3.377","2.450","1.950","4.760","6.950","5.522","3.950","6.270","4.880","3,238.600","5","2","1","NN","-0.521","28","0.97","-0.667","#","1.000"
"1","win","11.079","3.837","1.050","1.000","2.670","4.220","2.652","6.970","5.610","7.860","7,792.000","3","1","1","VB|NN","-0.703","28","1.00","-0.695","#","1.000"
"1","winter","10.082","3.127","1.650","1.300","3.840","4.380","3.333","5.500","2.770","4.410","8,526.200","5","2","1","NN|VB","-0.807","27","1.00","-0.624","#","0.964"
